combined_rank,division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
27,3,Ted,Åhlenius,ted,SWE,Production,49.68,55.24,6.61,35.42,46,84.11
28,17,Jens,Lundström,jenlu,SWE,Open,49.58,58.24,10.29,27.37,31,57.35
29,18,Jakob,Ericsson,caben,SWE,Open,49.52,58.78,11.01,25.75,31,57.28
30,4,Kalle,Svensk,,SWE,Production Optics,48.78,63.21,17.14,11.78,8,66.52
31,19,Kent,Westerlund,kwesen,SWE,Open,48.32,61.37,15.51,14.86,10,55.9
32,5,Mikael,Östling,pergite,SWE,Production Optics,48.21,52.18,4.71,38.04,64,65.75
33,6,Peter,Kastell,kastell,SWE,Pistol Caliber Carbine,47.88,62.01,16.79,11.65,11,78.11
34,7,Bjarne,Larning,bjarne,SWE,Pistol Caliber Carbine,47.39,57.91,12.5,20.42,17,77.31
35,4,Johan,Modigh,,SWE,Production,46.71,55.4,10.32,24.43,29,79.08
36,20,Frans,Vonasek,,SWE,Open,46.42,52.88,7.68,29.84,27,53.69
37,21,Jimmy,Sjögren,,SWE,Open,46.41,54.59,9.73,25.41,20,53.68
38,8,Bernhard,Skoglund,burni,SWE,Pistol Caliber Carbine,46.08,60.54,17.18,9.01,10,75.17
39,1,Thomas,Edvardsson,fader,SWE,Standard,45.68,51.16,6.51,31.62,67,100.0
40,22,Martin,Håkansson,hakansson,SWE,Open,45.2,56.71,13.68,15.67,10,52.28
41,23,Tobias,Henriksson,monthe,SWE,Open,45.07,49.0,4.67,35.0,70,52.13
42,6,lars-tony,skoog,skoogis,SWE,Production Optics,44.46,53.45,10.68,21.41,16,60.63
43,7,Hampus,Bolin,,SWE,Production Optics,44.44,50.09,6.71,29.95,32,60.6
44,24,Daniel,Holmberg,rioter,SWE,Open,44.35,48.91,5.42,32.65,60,51.3
45,8,Johan,Modigh,jj84,SWE,Production Optics,44.14,60.83,19.83,1.35,5,60.2
46,2,Peter,Kastell,kastell,SWE,Standard,43.94,49.94,7.13,28.55,62,96.2
47,9,Joakim,Wallin,sveaskogen,SWE,Production Optics,43.92,50.24,7.51,27.72,27,59.9
48,25,Sonny,Stenström,,SWE,Open,43.86,51.48,9.05,24.32,22,50.73
49,9,Von,Batti,vonbatti,SWE,Pistol Caliber Carbine,43.73,52.1,9.94,22.28,25,71.34
50,10,Tobias,Åström,mercs,SWE,Production Optics,43.69,48.13,5.28,32.3,49,59.58
51,11,Albin,Hylander,hylanderjunior,SWE,Production Optics,43.65,52.56,10.58,20.81,12,59.53
52,26,Christian,Skoglund,skoglund,SWE,Open,43.55,48.84,6.28,29.99,39,50.38
53,12,Robert,Börjesson,rob79,SWE,Production Optics,43.17,49.06,6.99,28.08,30,58.88
54,27,Gustav,Persson,,SWE,Open,42.84,52.34,11.29,18.48,31,49.56
55,28,Daniel,Lilienberg,mcping,SWE,Open,42.59,45.88,3.9,34.18,93,49.27
56,13,Niclas,Dal,nickeklick,SWE,Production Optics,42.48,46.29,4.53,32.7,66,57.93
57,14,Gunnar,Almkvist,,SWE,Production Optics,42.46,55.42,15.4,9.21,10,57.9
58,29,Marcus,Norberg,nog,SWE,Open,42.35,48.49,7.3,26.59,31,48.99
59,30,Jens,Sandberg,jens,SWE,Open,42.31,47.72,6.43,28.44,58,48.94
60,15,Jörgen,Björk,jorgenbjork,SWE,Production Optics,42.07,52.87,12.84,14.36,11,57.37
61,16,Cecilia,Lindberg,chitchi,SWE,Production Optics,41.79,48.26,7.69,25.21,27,56.99
62,17,Niklas,Vik,,SWE,Production Optics,41.68,51.21,11.32,17.26,24,56.84
63,18,Johan,Hansen,hansen,SWE,Production Optics,41.43,50.59,10.88,17.95,16,56.5
64,5,Robert,Söderström,,SWE,Production,41.12,46.72,6.64,26.79,40,69.62
65,6,Robert,Börjesson,,SWE,Production,40.75,43.95,3.8,32.54,100,68.99
66,31,Magnus,Johansson,sigsauer,SWE,Open,40.58,57.27,19.83,-2.23,6,46.94
67,3,Robert,Söderström,dvc73,SWE,Standard,40.28,47.48,8.55,21.84,32,88.2
68,19,Tommy,Mattsson,digglers,SWE,Production Optics,40.2,46.37,7.34,24.36,28,54.81
69,10,lars-tony,skoog,skoogis,SWE,Pistol Caliber Carbine,40.09,59.22,22.73,-8.98,4,65.39
70,11,Robert,Söderström,dvc73,SWE,Pistol Caliber Carbine,39.82,53.85,16.67,3.84,10,64.97
71,32,Jacob,Lindblom,jacobl,SWE,Open,39.75,50.59,12.88,11.95,23,45.98
72,12,Albin,Hylander,hylanderjunior,SWE,Pistol Caliber Carbine,39.6,59.19,23.27,-10.63,4,64.61
73,33,Andreas,Warsén,,SWE,Open,39.38,45.8,7.63,22.9,30,45.55
74,34,Patrik,Selinder,selinder,SWE,Open,39.33,45.87,7.77,22.57,27,45.5
75,13,Mikael,Östling,pergite,SWE,Pistol Caliber Carbine,39.24,55.61,19.45,-2.73,7,64.02
76,35,Joel,Svensson,,SWE,Open,39.21,48.37,10.89,15.7,18,45.35
77,4,Rasmus,Gyllenberg,gylla,SWE,Standard,39.17,52.1,15.37,6.0,11,85.75
78,20,Jokke,Eriksson,jokke,SWE,Production Optics,39.12,43.38,5.06,28.2,47,53.35
79,7,Daniel,Johnson,,SWE,Production,39.04,42.52,4.13,30.14,80,66.1
80,8,Peter,Kastell,kastell,SWE,Production,38.92,47.36,10.03,17.27,47,65.89
81,21,Marcus,Skogstrom,,SWE,Production Optics,38.56,43.23,5.55,26.59,34,52.58
82,5,Magnus,Johansson,sigsauer,SWE,Standard,38.54,53.22,17.45,0.88,11,84.37
83,6,Mats O.,Bäckström,dalmas4,SWE,Standard,38.31,47.91,11.4,13.7,27,83.87
84,9,Jörgen,Björk,jorgenbjork,SWE,Production,38.3,49.02,12.74,10.8,19,64.84
85,10,Mikael,Agnebo,mikagn,SWE,Production,38.29,44.68,7.59,21.91,48,64.83
86,36,jari,Kurttio,goldgun,SWE,Open,38.28,43.23,5.88,25.58,54,44.28
87,22,Daniel,Holmgren,danneh,SWE,Production Optics,38.25,43.89,6.7,23.79,30,52.16
88,23,Hugo,Rinaldo,,SWE,Production Optics,37.68,43.13,6.48,23.69,35,51.38
89,14,Christian,Rönnlöf,krull,SWE,Pistol Caliber Carbine,37.59,47.21,11.43,12.92,20,61.32
90,11,Kalle,Halvarsson,,SWE,Production,37.57,48.51,12.99,9.52,18,63.61
91,24,Marcus,Eriksson,marer,SWE,Production Optics,37.4,42.41,5.95,24.55,54,51.01
92,25,Rickard,Eriksson,mrmeeseeks,SWE,Production Optics,37.36,45.31,9.44,16.99,17,50.95
93,37,Håkan,Stors,,SWE,Open,37.34,47.07,11.56,12.38,16,43.19
94,38,Andreas,Anderson,,SWE,Open,37.23,43.5,7.45,21.14,40,43.06
95,7,Robert,Börjesson,,SWE,Standard,37.06,43.26,7.37,21.16,43,81.14
96,39,Per,Forsling,slowfeet,SWE,Open,37.05,40.75,4.4,27.56,67,42.86
97,8,Pär,Hylander,,SWE,Standard,36.69,41.18,5.33,25.18,39,80.32
98,40,Stefan,Halvarsson,halvarsson,SWE,Open,36.68,44.58,9.38,16.42,27,42.43
99,41,Tomas,Nilsson,mansell,SWE,Open,36.57,43.03,7.67,20.02,49,42.31
100,15,Christian,B,,SWE,Pistol Caliber Carbine,36.49,54.84,21.81,-10.58,4,59.52
101,26,Jiro,Nihei,zatoichi,SWE,Production Optics,36.24,43.66,8.82,17.19,19,49.42
102,12,Robert,Johansson,,SWE,Production,35.99,41.35,6.37,22.25,47,60.93
103,27,John,Bryant-Meisner,jbm,SWE,Production Optics,35.88,40.86,5.92,23.11,39,48.93
104,42,Tomas,Lindgren,totte,SWE,Open,35.32,44.24,10.59,12.46,14,40.86
105,9,Mikael,Jung,,SWE,Standard,35.25,38.42,3.76,27.14,120,77.18
106,43,Erik,Nilsson,,SWE,Open,35.22,43.17,9.45,14.83,18,40.74
107,16,Jari,D,jade,SWE,Pistol Caliber Carbine,34.92,48.12,15.68,1.08,9,56.97
108,44,Mathias,Rinaldo,pewpewu2,SWE,Open,34.69,39.03,5.16,23.55,47,40.12
109,10,Faj,Tran,fajsan,SWE,Standard,34.59,53.68,22.69,-14.37,5,75.73
110,45,Tommy,Hjelm,,SWE,Open,34.57,44.68,12.01,8.64,26,39.99
111,46,Peter,Larsson,pelar,SWE,Open,34.5,38.82,5.13,23.42,83,39.91
112,47,Oscar,Fungmark,funkis,SWE,Open,34.49,52.36,21.23,-11.34,4,39.89
113,28,Kyrre,Lee,bombom,SWE,Production Optics,34.47,44.21,11.58,9.49,13,47.01
114,13,Martin,Assarsson,,SWE,Production,34.46,38.61,4.93,23.81,58,58.33
115,11,Niclas,Dal,nickeklick,SWE,Standard,34.12,39.46,6.35,20.42,58,74.7
116,14,Per-Ola,Rasmussen,perola,SWE,Production,33.97,41.57,9.03,14.48,26,57.51
117,48,Johan,G,johang,SWE,Open,33.88,45.58,13.9,3.87,12,39.19
118,49,Robert,Kunst,,SWE,Open,33.87,37.53,4.35,24.48,74,39.18
119,17,Jiro,Nihei,zatoichi,SWE,Pistol Caliber Carbine,33.79,46.36,14.95,1.53,13,55.12
120,18,Michael,Lindström,,SWE,Pistol Caliber Carbine,33.74,42.91,10.89,10.23,23,55.04
121,29,Peter,Saltvik,peppe,SWE,Production Optics,33.62,36.97,3.98,25.02,77,45.84
122,12,Johan,Skogh,,SWE,Standard,33.6,38.35,5.64,21.44,52,73.57
123,30,Mats,Karlsson,yaps,SWE,Production Optics,33.55,39.63,7.22,17.96,24,45.76
124,50,Jim,Larsén,slimjim,SWE,Open,33.51,40.23,7.99,16.28,48,38.77
125,31,Fredric,Hidesand,,SWE,Production Optics,33.47,37.83,5.18,22.29,35,45.65
126,51,Johan,Ekengren,,SWE,Open,33.36,48.33,17.79,-5.02,12,38.59
127,15,Cecilia,Lindberg,,SWE,Production,33.31,38.01,5.59,21.25,69,56.39
128,19,Andreas,Johannesson,adde317,SWE,Pistol Caliber Carbine,33.26,42.41,10.87,9.79,19,54.25
129,13,Michael,Bjurshagen,mibj,SWE,Standard,33.25,39.11,6.96,18.22,46,72.79
130,32,Jimmy,Jonsson,,SWE,Production Optics,33.19,40.66,8.88,14.02,21,45.26
131,16,Niclas,Dal,,SWE,Production,33.17,40.86,9.13,13.46,44,56.16
132,52,Marcus,Molin,,SWE,Open,33.03,37.3,5.08,22.06,79,38.2
133,53,Niklas,Arabäck,,SWE,Open,32.96,37.43,5.31,21.49,77,38.12
134,54,Daniel,Persson,danper,SWE,Open,32.76,38.33,6.62,18.47,35,37.89
135,33,Jonas,Partanen Green,,SWE,Production Optics,32.75,39.03,7.47,16.64,26,44.66
136,55,Fredrik,Lundbeck,figge,SWE,Open,32.54,46.79,16.93,-4.0,14,37.64
137,34,Sven,Lundin,lundin,SWE,Production Optics,32.52,40.12,9.03,13.03,20,44.35
138,20,Rasmus,Gyllenberg,gylla,SWE,Pistol Caliber Carbine,32.5,52.38,23.63,-18.5,4,53.01
139,17,Ricardo,Soler,rickipick,SWE,Production,32.37,35.4,3.6,24.6,134,54.8
140,18,Håkan,Wiren,,SWE,Production,32.32,36.51,4.97,21.58,68,54.72
141,35,Fredrik,Holmstrand,,SWE,Production Optics,32.29,38.62,7.52,16.06,30,44.04
142,56,Leif,Madsen,mrfatandslow,SWE,Open,32.17,38.73,7.79,15.34,29,37.21
143,14,Kent,Westerlund,,SWE,Standard,32.06,37.38,6.32,18.42,44,70.19
144,57,Robert,Bengtsson,,SWE,Open,31.71,37.1,6.41,17.89,39,36.68
145,19,Oscar,Fungmark,funkis,SWE,Production,31.53,37.65,7.27,15.83,30,53.38
146,58,Hans,Gustafsson,,SWE,Open,31.42,37.9,7.7,14.79,29,36.34
147,15,Jonas,Forslund,forsis,SWE,Standard,31.4,34.17,3.29,24.3,140,68.75
148,16,Dan,Liljeström,liljestrom,SWE,Standard,31.37,43.07,13.9,1.38,15,68.69
149,20,Gabriel,Lind,gabbe,SWE,Production,31.34,35.95,5.48,19.5,68,53.06
150,17,stefan,wennerström,scubasteve,SWE,Standard,31.34,42.29,13.01,3.25,19,68.61
151,18,Daniel,Denwood,doubledelta,SWE,Standard,31.2,35.43,5.02,20.37,53,68.31
152,59,Erik,Bjalkvall,3gunner,SWE,Open,31.16,37.37,7.38,15.23,38,36.04
153,21,Miroslav,Matkovic,miro79,SWE,Pistol Caliber Carbine,31.13,40.83,11.52,6.27,17,50.79
154,60,Marcus,Eriksson,marer,SWE,Open,31.13,42.13,13.08,2.9,12,36.0
155,22,Hugo,Rinaldo,rinaldojr,SWE,Pistol Caliber Carbine,31.08,46.96,18.87,-9.66,7,50.69
156,23,Jimmy,Jonsson,,SWE,Pistol Caliber Carbine,31.07,43.25,14.47,-0.16,10,50.69
157,36,Daniel,Tillström,climber,SWE,Production Optics,31.04,39.96,10.59,8.18,17,42.33
158,37,Adam,Sjölin,adasjo,SWE,Production Optics,30.92,38.18,8.64,12.28,20,42.16
159,21,Carl,Schultze,schultze,SWE,Production,30.9,33.66,3.28,23.83,104,52.32
160,38,Jimmy,With,with,SWE,Production Optics,30.73,36.03,6.3,17.12,39,41.9
161,39,Bjarne,Larning,bjarne,SWE,Production Optics,30.64,39.28,10.27,8.47,14,41.78
162,40,Rasmus,Olausson,mapuf,SWE,Production Optics,30.62,42.61,14.24,-0.11,10,41.76
163,41,Stefan,Ekstedt,steeks,SWE,Production Optics,30.58,37.41,8.12,13.05,23,41.7
164,19,Ricardo,Soler,rickipick,SWE,Standard,30.52,35.69,6.13,17.29,46,66.83
165,61,Emil,Olsson,ziptie,SWE,Open,30.45,41.99,13.72,0.83,9,35.22
166,22,Vincent,Hörnsten,,SWE,Production,30.44,36.06,6.68,16.02,35,51.53
167,62,Magnus,Gustafsson,scar,SWE,Open,30.32,39.24,10.6,7.45,22,35.08
168,42,Tåbbe,Asplind,aspen,SWE,Production Optics,30.31,36.19,6.99,15.21,28,41.33
169,63,Roberth,Andersson,aimbot,SWE,Open,30.27,41.48,13.33,1.5,20,35.01
170,64,Henrik,Hjelte,cetre,SWE,Open,30.26,41.55,13.41,1.33,13,35.0
171,20,Sebastian,Nilsson,,SWE,Standard,30.24,39.49,10.99,6.52,36,66.2
172,65,David,Ståhl,goliat40,SWE,Open,30.12,36.12,7.13,14.73,57,34.84
173,66,Andreas,Arvebrink,creacito,SWE,Open,30.02,38.36,9.9,8.66,22,34.73
174,67,Christian,Wallman,,SWE,Open,29.97,48.2,21.66,-16.78,5,34.67
175,68,Håkan,Johansson,,SWE,Open,29.92,35.63,6.79,15.27,47,34.61
176,69,Heinz,Johansson,,SWE,Open,29.88,34.32,5.28,18.49,64,34.56
177,23,Jimmy,Svensson,,SWE,Production,29.8,33.37,4.24,20.64,94,50.45
178,24,Magnus,Abelsson,,SWE,Production,29.75,33.27,4.18,20.73,93,50.37
179,43,Emil,Nordin,nordinemil,SWE,Production Optics,29.71,38.83,10.83,6.33,18,40.52
180,21,Teddi,Sörensson,futump,SWE,Standard,29.67,39.47,11.65,4.53,21,64.96
181,44,Magnus,Johansson,sigsauer,SWE,Production Optics,29.64,44.39,17.53,-8.2,10,40.42
182,1,Faj,Tran,fajsan,SWE,Classic,29.57,35.73,7.32,13.77,36,100.0
183,24,Stellan,Simeonidis,odysseus,SWE,Pistol Caliber Carbine,29.45,45.52,19.1,-11.77,8,48.04
184,70,Fredrik,Poller,poller,SWE,Open,29.41,41.13,13.92,-0.64,14,34.02
185,71,magnus,boström,,SWE,Open,29.33,35.16,6.94,14.35,33,33.92
186,25,Jari,Devad,jade,SWE,Pistol Caliber Carbine,29.31,45.62,19.38,-12.51,6,47.82
187,72,Ola,Carlsson,ola944,SWE,Open,29.27,34.83,6.61,15.0,37,33.85
188,25,Jens,Lundholm,,SWE,Production,29.17,33.17,4.76,18.9,52,49.38
189,22,Kenneth,Karlsson,knet,SWE,Standard,29.16,35.48,7.51,12.95,30,63.84
190,26,Carl,Danielson,kexet,SWE,Production,28.97,32.58,4.29,19.72,103,49.05
191,26,Jens,H,jzh,SWE,Pistol Caliber Carbine,28.82,40.18,13.5,-0.32,13,47.01
192,73,Jörgen,Broman,broman,SWE,Open,28.81,33.69,5.81,16.27,46,33.32
193,27,F,Andersson,,SWE,Production,28.76,40.41,13.84,-1.1,12,48.7
194,74,Sebastian,Vestlund,sebastian,SWE,Open,28.75,36.49,9.2,8.9,17,33.25
195,75,Christoffer,Thander,cthander,SWE,Open,28.63,35.27,7.89,11.59,26,33.11
196,45,Merima,Åström,merima,SWE,Production Optics,28.59,33.2,5.48,16.75,49,38.98
197,2,Robert,Söderström,,SWE,Classic,28.58,39.0,12.38,1.86,18,96.67
198,27,Stefan,Wallberg,wallis,SWE,Pistol Caliber Carbine,28.5,41.25,15.14,-4.17,10,46.5
199,76,Christian,Rönnlöf,krull,SWE,Open,28.5,45.67,20.4,-15.53,5,32.97
200,28,Fredrik,F,ferdi76,SWE,Pistol Caliber Carbine,28.46,39.16,12.71,1.03,13,46.42
201,28,Orvar,Bäcklin,htfu,SWE,Production,28.34,34.58,7.41,12.34,49,47.98
202,77,Per-Ola,Rasmussen,perola,SWE,Open,28.17,46.45,21.72,-18.71,6,32.58
203,78,Magnus,von Brömsen,brake,SWE,Open,28.16,32.59,5.26,16.8,75,32.57
204,29,Klas,Lundberg,kfl69,SWE,Production,28.06,35.14,8.41,9.91,34,47.51
205,79,Johan,Ström,strom,SWE,Open,27.99,35.99,9.5,7.49,22,32.38
206,46,Hänry,Bengtsson,,SWE,Production Optics,27.78,31.82,4.8,17.41,64,37.88
207,30,Jonas,Björk,whistler,SWE,Production,27.75,38.38,12.62,0.51,13,46.99
208,47,Gustav,Arvidsson,rogi,SWE,Production Optics,27.72,46.35,22.13,-20.04,4,37.81
209,31,Clas,Öhman,,SWE,Production,27.68,35.27,9.03,8.19,34,46.86
210,32,Stefan,Ekstedt,steeks,SWE,Production,27.66,39.36,13.91,-2.36,17,46.83
211,23,Jonas,Björk,whistler,SWE,Standard,27.62,34.44,8.1,10.13,39,60.48
212,33,Fredrik,Wildemo,fredwild,SWE,Production,27.62,33.55,7.05,12.4,47,46.76
213,29,Victor,Svensson,sheriffen,SWE,Pistol Caliber Carbine,27.58,44.2,19.75,-15.06,6,44.98
214,24,Peter,Eliasson,petereliasson,SWE,Standard,27.53,32.88,6.36,13.81,38,60.28
215,80,Michael,Nordell,dude,SWE,Open,27.44,32.66,6.2,14.06,43,31.74
216,48,Kent,Stangvik,nordicraven,SWE,Production Optics,27.4,33.68,7.46,11.3,27,37.37
217,81,Karin,Wiklund,kwi,SWE,Open,27.35,38.35,13.07,-0.85,13,31.64
218,34,Eric,Carlsson,,SWE,Production,27.34,32.09,5.64,15.15,71,46.28
219,49,Anton,Forsman,forsman,SWE,Production Optics,27.28,35.34,9.57,6.63,18,37.2
220,30,Henry,Ivarsson,henry77,SWE,Pistol Caliber Carbine,27.25,37.81,12.54,0.19,17,44.46
221,25,Andreas,Karlsson,badass40,SWE,Standard,27.08,31.1,4.78,16.77,71,59.28
222,50,Günther,Lindmark,coffeeman,SWE,Production Optics,27.07,36.54,11.25,2.79,26,36.92
223,35,Patrik,Gren,,SWE,Production,27.07,31.64,5.43,15.35,54,45.83
224,51,Jesper,Håkansson,jpha,SWE,Production Optics,27.04,31.8,5.66,14.82,39,36.87
225,82,Daniel,Denwood,doubledelta,SWE,Open,26.99,32.0,5.96,14.12,32,31.21
226,36,Andreas,Johansson,,SWE,Production,26.96,31.02,4.83,16.54,93,45.64
227,52,Carl,Inger,bobo68,SWE,Production Optics,26.89,33.03,7.29,11.16,31,36.68
228,37,Jörgen,Andersson,,SWE,Production,26.89,34.29,8.8,7.9,29,45.52
229,31,Kalle,Halvarsson,adhd,SWE,Pistol Caliber Carbine,26.87,44.98,21.51,-19.55,5,43.84
230,38,Johnnie,Tibom,jt74,SWE,Production,26.86,31.39,5.39,15.24,50,45.48
231,26,Mathias,Henricsson,glock35,SWE,Standard,26.83,34.14,8.68,8.1,47,58.74
232,83,Nicola,Lo Presti,nixi,SWE,Open,26.82,35.94,10.83,3.44,14,31.02
233,84,Ida,Rinaldo,rinaldosuperjr,SWE,Open,26.78,32.58,6.9,11.89,26,30.97
234,85,Mikael,Schelén,stmichael,SWE,Open,26.75,36.14,11.15,2.68,20,30.95
235,86,Jari,Kurt10,goldgun,SWE,Open,26.71,38.64,14.18,-3.9,11,30.89
236,39,Robin,Östman,,SWE,Production,26.66,32.82,7.31,10.88,41,45.14
237,27,Albin,Karlsson,smalben,SWE,Standard,26.65,30.89,5.03,15.79,69,58.35
238,28,Per,Wiklander,,SWE,Standard,26.61,32.94,7.52,10.37,46,58.25
239,87,Fredrik,Lindblad,fastman666,SWE,Open,26.6,36.07,11.26,2.29,23,30.76
240,53,Ola,Carlsson,ola944,SWE,Production Optics,26.59,31.23,5.51,14.71,39,36.26
241,40,Pär,Hylander,,SWE,Production,26.56,34.15,9.01,7.11,27,44.97
242,88,Per,Siverud,aenonar,SWE,Open,26.56,34.85,9.86,5.28,22,30.72
243,89,Robert,Purvins,purvins,SWE,Open,26.51,45.78,22.89,-22.9,3,30.67
244,41,Jim,Andersson,,SWE,Production,26.48,31.61,6.09,13.33,49,44.83
245,42,Erik,Fjellström,,SWE,Production,26.42,32.22,6.89,11.55,36,44.73
246,32,Mathias,Rinaldo,pewpewu2,SWE,Pistol Caliber Carbine,26.29,38.6,14.62,-5.27,11,42.89
247,43,Rickard,Eriksson,,SWE,Production,26.27,37.23,13.02,-1.84,13,44.47
248,90,Tobias,Hårdén,harden,SWE,Open,26.24,35.61,11.13,2.21,17,30.35
249,33,Marcus,Molin,mackan73,SWE,Pistol Caliber Carbine,26.23,35.93,11.53,1.35,17,42.79
250,54,Karl,Kempe,karl,SWE,Production Optics,26.22,30.99,5.67,13.99,43,35.76
251,55,Jens,Sandberg,jens,SWE,Production Optics,26.18,33.57,8.78,7.23,20,35.71
252,56,Adam,Bäckman,,SWE,Production Optics,26.18,33.07,8.19,8.51,22,35.7
253,91,Marcus,Larsson,,SWE,Open,26.12,32.76,7.89,9.08,22,30.21
254,44,Klas,Ekegren,oaken,SWE,Production,26.11,30.02,4.65,16.08,58,44.21
255,92,Gustav,Breisch,gbreisch,SWE,Open,26.08,41.86,18.75,-14.4,6,30.16
256,29,Simon,Fant,,SWE,Standard,26.01,31.69,6.75,11.45,32,56.95
257,30,Niklas,Nordgren,agaton,SWE,Standard,25.82,36.12,12.24,-0.6,20,56.52
258,45,Daniel,Gulle,,SWE,Production,25.79,31.37,6.64,11.46,56,43.66
259,46,Stefan,Johannesson,st3f4n,SWE,Production,25.77,31.7,7.04,10.57,44,43.63
260,57,Kristian,Haanpää,,SWE,Production Optics,25.69,32.48,8.07,8.26,29,35.03
261,3,Martin,Håkansson,hakansson,SWE,Classic,25.69,29.59,4.64,15.67,60,86.87
262,58,Fredrik,Willehadson,leshy,SWE,Production Optics,25.65,34.42,10.42,3.17,18,34.98
263,59,Stefan,Johannesson,st3f4n,SWE,Production Optics,25.57,32.41,8.13,8.03,23,34.87
264,47,Tomas,Frisell,,SWE,Production,25.5,30.54,5.99,12.58,69,43.17
265,31,Fredric,Andreasson,5106,SWE,Standard,25.47,34.65,10.9,1.94,20,55.77
266,4,Peter,Kastell,kastell,SWE,Classic,25.47,40.65,18.04,-13.48,7,86.13
267,60,Oskar,Elfvin,elvino,SWE,Production Optics,25.46,33.41,9.45,5.06,16,34.71
268,48,Lars-Olof,Halvarsson,,SWE,Production,25.45,31.9,7.66,8.92,44,43.09
269,49,Jonas,Ardemalm,,SWE,Production,25.44,31.6,7.32,9.63,49,43.07
270,61,Mattias,Haapaniemi,,SWE,Production Optics,25.37,30.22,5.76,12.93,39,34.6
271,32,Nicola,Lo Presti,,SWE,Standard,25.33,28.93,4.27,16.11,75,55.47
272,50,Adam,Odgaard-Nexe,nexus,SWE,Production,25.31,32.76,8.85,6.21,43,42.85
273,51,Fredrik,Jacobsson,frejac01,SWE,Production,25.29,33.38,9.61,4.54,28,42.81
274,34,Lukas,Mattsson,glader,SWE,Pistol Caliber Carbine,25.18,38.78,16.15,-9.69,9,41.08
275,93,Robbin,Häggmark,,SWE,Open,25.17,31.54,7.57,8.84,29,29.11
276,94,Stefan,Annell,stefana,SWE,Open,25.03,29.76,5.62,12.89,67,28.95
277,52,Sven,Lundin,lundin,SWE,Production,25.02,31.81,8.07,7.6,46,42.36
278,53,jaakko,kangasvieri,,SWE,Production,25.01,29.18,4.96,14.3,84,42.34
279,54,Johan,Skogh,,SWE,Production,24.91,31.5,7.83,8.0,28,42.17
280,95,David,Axberg,davva,SWE,Open,24.85,32.76,9.4,4.56,21,28.74
281,33,Jerry,Pettersson,laerkkan,SWE,Standard,24.81,33.08,9.82,3.62,23,54.32
282,96,Jonas,Thambert,,SWE,Open,24.73,34.96,12.16,-1.53,17,28.6
283,35,Lars-Olof,Halvarsson,happyhunter,SWE,Pistol Caliber Carbine,24.72,40.4,18.63,-15.49,6,40.33
284,34,Magnus,Söderlind,manne,SWE,Standard,24.71,29.56,5.76,12.28,45,54.1
